Content,is_pos,is_serv,is_product,is_price,is_env
麦当劳在这里也开了好几年了，生意还是那么的好，真厉害！东西也就那样，不过价格贵，量少，哎,-1,,-1,-1,
这家开在在2号线地铁出口，平时生意算是可以的！有很明显的标示。里头还是蛮大蛮宽敞的，不过只有洗手的。麦麦嘛，他家性价比还行的，座位摆放也有比较合理的安排。关键是方便。10元限时特价的麦辣鸡腿堡，味道很不错，全麦的口感。炸鸡很多哦！,1,,1,1,1
这家只开到11点，路过很饿买了个香骨鸡腿，等了十分钟，但是现炸的真的好好吃啊,-1,-1,1,,
路过顺便买了外卖回家，不错不错,1,,,,
甜品窗口开着人都没一个。喊了三分钟依旧不鸟。开着干什么？,-1,-1,,,
早餐越来越好吃了，而且价格实惠,1,,1,1,
点的外卖，结果5分钟就全部送来了……绝对速度啊,1,1,,,
午饭有了一个一杯牛奶，就来麦当劳嘿嘿！有一起的小伙吗,1,,,1,
用了优惠券买了麦辣鸡腿堡和麦旋风套餐，18元，比肯德基的单个辣鸡腿堡16元便宜多了，味道差不多，仔细吃了鸡腿肉，肉是一丝丝排列得很整齐而且吃的时候你顺着纹路很容易就一丝丝得拉下来，这跟平时自己家里烧的鸡肉吃起来完全不一样怎么可能一丝丝排列的呢！明显都是再加工而成，不推荐小朋友吃,-1,,-1,,
太可惜了！其实我是很喜欢麦当劳哒，胜过肯德基，以前大学时就爱往麦当劳跑，可是现在离家近的此家麦当劳更应该是我常光顾哒反而我来的少了，为嘛？第一，店内没有专用洗手间，很不方便!第二，店内木有WiFi，喵了个咪的，生气!这2点都让对面的肯德基占优势了！第三，之前买哒5元优惠卡没有以前那样实惠了！如今涨价的基础上与卡上的价是一个价 唉，浪费5块钱，卡面还是很难看的图画也没有收藏价值，55555\n第四，好多椅子都让并没有消费的大娘大妈占着拉家常和打毛线，以至于找不到位置做╮(╯_╰)╭本人又是个不喜欢打包的主，只喜欢堂用，这样一来二去的，从去年到今年活生生的将我这个老客推入了其他咖啡屋和快餐店的怀抱!话说此家店的诞生，还是基于当年我姐姐和几个同学亲笔联名写信给麦当劳总部才有哒，可见我们家的人对麦当劳是多么深的感情☆可是却十分遗憾不能把设施弄的很到位或基础到位，十分遗憾。现在也只是去别的分店光顾。,-1,-1,,-1,-1
上完课买的，打开很开心，叠的很好！不像百联的，全是歪的。微信卡包貌似没有普及，服务员不会诶，叫经理来的果粒橙的果粒去哪里了？,-1,-1,,,
環境很差，吃個東西一直有小飛蟲，飛來飛去很多隻，滿噁的！,-1,,,,-1
虽然被查出问题 但是新出的可可椰子派超级好吃～外面的皮皮很好吃 苦苦的 听说冰冻一下味道更加好 回头试试～不过一个人有点悲剧 1个7块 2个10块 55555 没有搭子,1,,1,,
一个收银的小姑娘满有意思的，本来只想买薯条和麦乐鸡，她推荐薯条加麦乐鸡加可乐，能再送个可乐杯，还比原价便宜2块，太合算了。,1,1,,1,
买早餐的时候顺路吃吃\n喜欢猪柳麦满分 和薯饼 还有豆浆的搭配\n现在买薯饼送沐浴露 无语了,-1,-1,1,,
与其他的麦当劳的味道差不多，但是环境很大，有长长的回廊，喜欢麦当来的鸡翅，里面的珍珠奶茶有点太出乎意料了，竟然是可以咬破的珍珠，口感有点怪怪的，但是还是一如既往的喜欢麦当劳,1,,1,,
这家店其实不是很大，但是有长长的回廊感觉可以走很长的路。感觉生意没有其他麦当劳的好，去吃麦当劳完全是为了海贼王的玩具了，汗，可以几个热门的都没有，麦当劳感觉都是靠这部分吸金啊。地理位置倒是很方便，2号线北新泾站出来就是了，附近还有很多面包店和商场，兜一圈还是挺方便的,1,,,,1
等着商场开门就去麦当劳点了份早餐，吉士蛋加咖啡，外加了份薯饼，咖啡还是一如既往的淡,-1,,-1,,
这家一直有阿姨妈妈聊天的 所以位子么就不要挑剔了 味道么一样一样的,-1,,,,-1
两点优点：有wifi，有晚市套餐。总觉得M家没有KFC好吃，鸡翅和薯条都显逊色点，不过晚上kfc没超值套餐，相比起来大M性价比就很高的了,-1,1,-1,1,
虽说现在禽流感，但是去MC的人还是满多的，我也算上一个，哈哈~早餐点了热狗套餐，热狗加咖啡10元，很平民的价格，口味还行，热狗面包是全麦面包，比较健康。,1,,1,1,
地方很大！很多人都是坐在那里聊聊天的\n下午去做功課順便吃了个甜筒，同學喝了杯热朱古力\n麥当劳里面最喜歡的還是甜筒了，其他的都差不多啦\n最多吃吃套餐,1,,1,,1
买了那个新出来的全家桶。那个鸡腿辣的来…不划算。69块才三对鸡翅，三个鸡腿，7块小小的麦乐鸡，还有两杯可乐。真心不划算！而且麦麦现在给我的感觉就是，辣，辣，还是辣…,-1,,-1,-1,
服务员态度恶劣，还多收我钱。。。下次再也不去了。。。宁可去其他家。。。。嗨，现在的服务员素质杂那么差。。。,-1,-1,,,
服务态度恶劣 说话硬硬的 还不止一个这样 再也不会去了 还是西郊百联那个好 虽然远了点 还是要去的。,-1,-1,,,
上班偷偷的溜出去到对面的麦当劳.点了-份价值八元的麦辣鸡翅.口味有点辣.旁观者的-个人.说辣的没把他辣的蹦起来.嘻嘻我觉的还好吧!.餐毕.饮料奉上.!,1,,,,
下班路过，有点热，正好看到很大的甜筒广告。\n也很久没吃了，就买了一个。\n奶油味很浓的，一直听说这个比kfc好，味道纯。kfc里面冰比较多。\n以前麦当劳2.5元，kfc就3元了。现在都3元。\n下次想尝尝麦旋风。,1,,1,,
吃的偶就不多说了，麦当劳都差不多，服务超好，26号偶在麦当劳忘记拿了偶的包包，里面有1万块，当时把偶急死啦，还好后来麦当劳的员工帮偶找到啦，嘎嘎~~~~~~~~,1,1,,,
这家店经常是很多品种都没有的……\n晚上7点多的时候居然只有3款汉堡……板烧和双层吉士都没有\n堂吃的人很少，都是外卖的人,-1,-1,,,
在这里吃过几次，但没肯德基多，发现这里的店员有点懒散，热情不高涨。汉堡似乎越做越小了。人流量也不大，比对面的KFC差多了。,-1,-1,-1,,
今天要在附近的电大上课 \n晚饭就决定买个汉堡吃吃\n\n这家店和肯德基是面对着的 \n本人很久没有吃过麦麦了 \n所以觉得去买个汉堡吧\n\n店里面没几个人\n服务员就2个人\n我还在看到底吃哪个汉堡的时候\n这个服务员就表现出了等不急的样子\n这个态度实在叫做差啊\n\n他们家的板烧也做的差\n生菜全在外面的\n不知道是怎么包的\n\n以后还是去吃对面的肯德基好了,-1,-1,,,
对经常坐地铁2号线的家伙来说，这家在北新泾地铁站出口的店子很不错，很干净，很舒服，很方便，很麦当劳～～可以作为备用食堂。,1,,,,1
麦当劳嘛，没啥好评的~~~\n主要是想说说这家店。\n不晓得是什么原因，可能生意不是很好吧，所以服务也不好，东西的质量也差。\n举例说，饮料如果要加冰的，那么几乎有小半杯是冰，所以干脆不要加冰，再单独要一杯冰，没辙。\n买任何一款饮料上面有冰激淋漂浮的东西，冰激凌好小的一坨，歪歪扭扭的在上面。\n薯条根本装不满包装……\n最离谱的，新款的蜜桃新地，都比别家的酸，连糖都舍不得放啊！！\n\n服务员总是搞错东西……\n看到一次过分的，最近新出了麻辣摇摇鸡翅，比普通的多1元。我点餐的时候特别强调了一下不要新的，然后发现他收银机上把7元改成6元，我汗。\n然后看到隔壁有个人点餐，只说鸡翅，他直接给人家7元的。连问都不问，只知道卖贵的给客人~~~\n\n这家店啊，估计是客流量不够，所以只好偷工减料节约成本来保障收支平衡吧~~~,-1,-1,-1,,
嘻嘻 \n记得考完试 返校最后一天大家都舍不得分开 就一同来这里坐坐 她们吃新地 我吃玉米和汤 还有儿童套餐 味道么老样子 虽小 还有一个儿童乐园 哈哈 我们就看着里面 现在都毕业了 那里有我们美好的时光啊。,1,,,,
今天点的是早餐 培根蛋麦煎饼套餐（薯饼+紫米豆浆） 煎饼不好吃皮较硬里面的量也较少 喜欢薯饼 给紫米豆浆好评味道浓,-1,,-1,,
唉哇不知怎么就是想吃冰淇淋，没办法哇附近只有麦叔叔，只能进去解解馋了啊。\n\n发现可以自助点单了哇，好玩。还是蛮方便的不用去排长队。\n\n买了【爆米花口味麦旋风】【爆米花巧克力新地】，讲真新品口味太他么难吃！爆米花口味什么鬼，又像摩卡味又像焦糖味，他么甜的发腻，吃了几口实在吃不下去扔了。唉我拜托你还是换回原味吧！,-1,1,-1,,
挺好的，感觉这的汉堡个儿要大一些。,1,,1,,
虹桥机场没啥好吃的。。 麦当劳人最多了～\n薯条机场都是刚出锅的 烫的不行～,-1,,-1,,
收银员服务态度有点不耐烦，其他一般,-1,-1,,,
今天早上很早就起来了，因为同学要回去老家，所以我们俩很早就起来了，等赶到这边的时间差不多，所以我们就来这里吃了点早餐，她们家的味道依然还是那么美，点了个鸡肉粥加个油条，特别好吃，环境挺干净的，坐到这边等车挺舒服的,1,,1,,1
在t2航站楼，\n过完安检之后需要再下楼才能看得到，\n经过一众奢侈品之后就能看到门头，\n算是在候机厅里的麦当劳比较大的一个吧，\n还挺多人在买的，\n足见大家对飞机上的食物都不感兴趣。\n买个汉堡啊，鸡翅啊冰可乐什么的上机\n简直是幸福满满~~………,1,,,,1
自助点单挺不错的. 不用排队. 就是好贵啊.,-1,1,,-1,
在机场附近没有找到合适的、于是就选择了这里、四颗星，麦当劳还是很赞的，有机会可以尝试一下！周末和家人去无锡自驾游，周日下午到上海的，选了这家一起吃饭。包间的整体格调也是妹子喜欢的Tiffany蓝为主，椅子要不要那么重啊！！！看着像木头椅子，实际却是真真实实的铁啊！！拖起来好费力，哈哈~把点心几乎都点了一圈，有的还点了两份。流沙包很赞，咸蛋黄内陷热乎的时候很NICE，潮州白切鸡很嫩，入口很肥美，乳鸽也是炸得恰到好处，脆而不焦。榴莲酥和爆浆榴莲包等于老公和姑父这种嗜榴莲如掌上明珠的人而言是再好不过了呢。包浆榴莲包在碟子旁边还会放上吸管，让你们先插进去吸里面的榴莲浆再吃外面如同菠萝油版酥松的外壳。嗲~金钩瑶柱粉丝煲也是我的最爱，平时就超爱吃粉丝的我必须多吃些！煲仔饭一直都是在港式餐厅必点的一道，如果锅巴再多点就更加好了。最后说说服务吧，服务小妹有点点迟钝= =核对菜的时候明明把流沙包什么还报了一遍，最后上菜却发觉根本没有把榴莲包写上去- -醉了~走之前想开发票的，结果看到账台这边黑压压的，一男一女两个服务员面对面趴着在玩手机聊天，问他们发票说发票用完了后面两天可以去开- -老公说摆明了就是灯都关了不高兴再为了你一个人开灯开开票机了呗，好吧。。服务好堪忧！东西的确是蛮好吃的，但是服务如果跟不上，讲真。。上海滩好吃的真的太多了，最后还是会被刷下去的，现在本身就重视服务的呢，希望老板可以培训下手下的员工！需要培训、加强、改进、和学习的一家店！,-1,-1,1,,
薯饼这家店的不好吃，伐开心。跟服务员要发票也没有给,-1,-1,-1,,
我只能说服务哈差，点单的每一句话都需要重复三遍以上！经理都一脸的不耐烦！机场店拽毛啊,-1,-1,,,
不知道为什么 真的觉得就不太好吃 点的一定不会出错的烤鸡堡 料好少 好闲 薯条也是一如既往的闲 不过珍珠奶茶好新鲜 里面的珍珠和红豆好吃 但是奶茶好淡,-1,,-1,,
麦麦的早餐是我一直很喜欢的！～,1,,,,
买到最后一只小青蛙。哦不，准确的说，是披着a皮的b。,1,,,,
点了外卖，20分钟就到了，好快，好好吃，,1,1,,,
生意蛮好的麦当劳，估计大多是赶飞机在此随便吃点。麦当劳还是最喜欢麦乐鸡，再来杯橙汁，呵呵,,,,,
等飞机没事。洽逢大中午的也饿了不知吃什么好。逛了一小圈就看到麦当劳就进来了，门面很大很好找，基本装潢一般…环境整洁乾净。里面人很多基本都坐满了人，购买处也是人很多需要排队。服务人员有条有序…生意太好…没法说服务如何…只能说还行。价格上跟市区一样没什变动。,1,1,,,1
来机场不吃点肯德基麦当劳怎么行，其实也是因为来得太早没有别的早饭了。,1,1,,,
产品没什么可说的，标准化的工业食品，服务真心退步啊，业务操作流程不熟不说，态度还很恶劣，实在给不出好评，当然旅途中一路辛劳对情绪影响也有，所以机场的服务行业服务人员态度耐心都要更好才行，否则真的很难获得认可。,-1,-1,,,
15-11-18 去成都前买了晚饭，吃了再到飞机上吃飞机餐。\n,1,,,,
促销活动不让用，信誉何在？？？？,-1,-1,,,
太早来机场没地去看到这家麦当劳有插座就和小伙伴进来点杯咖啡然后给手机充充电。。。奇葩的事插座居然前面几分钟可以用到后面都没有电。。。最后还是依靠自己带的充电宝，果然靠别人都是不靠谱。\n\n这家机场的麦当劳除了常规汉堡饮料小食还有一个柜子卖现烤面包。空间不大，位置和位置之间挺紧凑。暖暖灯光小声蓝调如果忽略掉机场大厅的登机广播也是很惬意的。,-1,-1,,,1
等飞机时来吃的，其他地方实在不好找。\n单点的，味道比较统一，但感觉汉堡好像比北方个儿大。,1,,1,,
中午附近坐飞机，有点饿了就去麦记点了个套餐，小贵也算正常的。本人蛮久没有吃麦记了，点了个培根蔬萃双层牛堡的套餐，因为个人觉得这个堡比较好吃，里面的内容搭配也较好，有培根牛肉蔬菜等，当然价格比起其他也是较为美丽的_(:з」∠)_还有黑芝麻豆浆和一对鸡翅，一开始还以为是原味的豆浆，不过黑芝麻的味道也还好。加起来四十附近。偶尔吃吃也是觉得蛮好的。,1,,1,,
基本上这里的都是可以被信赖地的,1,,,,
服务员傻叉一样！东西还挺贵！味道就差的多了！,-1,-1,-1,-1,
晚班飞机，晚饭没来得及吃，就在这里权当晚餐，干净卫生，价格合理！,1,,,1,1
只为说麦当劳服务越来越差，服务员都臭着一张脸，要不是没有肯德基，星巴克坐满，才不会来这里。,-1,-1,,,
餐位拥挤，服务散漫，都是来休息一下，也无所谓了。机场内，人流如织，还想要什么。,-1,-1,,,
位置是在虹桥机场二号航站楼出发层，人气很旺的店家，公司搞活动，这家机场店除外。,1,,,,1
这个店好局促，来往通道大概只容得下一辆半推车并行，所以就很容易发生拥堵。\n\n不可否认的是麦咖啡的味道确实要好过KFC不少，但同样麦咖啡成都和上海的味道不一，豆子相同，浓度不一，这也是一个标准化的问题。\n\n加完糖包用了搅棒，手里提溜着空袋子要找垃圾桶，问了服务员垃圾桶在哪。我得到的回答很有意思：我们这边到处是垃圾桶，堂吃区有三个呢。orz，我是来捉迷藏的么，你直接告诉我垃圾扔在哪就好了。,-1,-1,-1,,-1
差…服务不满意，买个套餐就说等10分钟，态度实在不敢恭维，感觉爱买不买，垃圾人啊，还在机场里开，吃个饭真是，哎…检讨检讨吧…,-1,-1,,,
早班机。没有早餐。就在麦麦解决咯。方便又快捷。服务人员的态度还算热情。食物的水准还可以。,1,1,1,,
麦当劳的芝士蛋糕 延误的晚上 来一个,1,,,,
候机的时候去的，喝的饮料。阿里手机里就是扎扎实实回来急救小破民意也是***民主是我后Ms 模式,1,,,,
每次出去旅游从虹桥机场出发的话都会来这家麦当劳买点吃的，薯条鸡翅是必不可少的，环境不大，但是装修的蛮有特色的！也算机场一个特色了！,1,,,,1
好热呀溜出来买新地吃～～～～～～人多,1,,,,
薯条，鸡块，都是刚刚炸出来的，很好吃。而且新出的汉堡也很好吃，三片肉,1,,1,,
这家店虽然小小的但是走进去的感觉还是不错的 格局的分割线和整体的摆设都不错 好像刚刚过完圣诞节的原因  圣诞节的活动还在持续中 看到可爱甜点马卡龙 要不是吃饱了真心想尝一下 下午容易困 点了一杯纯coffee 一方面美容一方面抗氧化 帮助血液循环一下让大脑清醒一下！,1,,,,1
店面比较小，人很多，服务的速度很快，是机打发票。\n很适合赶飞机的人解决温饱问题。,1,1,,,
真心是路过然后买的薯条。 扭扭薯条是当季新品 我就来了一份 谁知道他是炸过头 僵的。不好吃 哎,-1,,-1,,
这家麦当劳挺大的 靠窗坐着等等飞机好悠闲\n早餐就是比外面贵好多\n味道还不错,-1,,1,-1,
2013.11.27\n\n回去度假，这次从虹桥出发，没有吃什么东西，打算来吃个派喝杯咖啡。\n\n最近是香蕉派，两只的价格比市区的贵一元，咖啡好像贵的多一些。\n\n只能说是候机消磨时光的好地方。,-1,,,-1,
开在机场的麦叔叔，经常能遇见外国帅哥，价格比外面贵豪夺，解燃眉之饿,-1,,,-1,
难得出门，去机场给人送东西，等人的时候去买个麦当劳，居然皮夹子里没钱。。。只有卡。。。正打听取款机在哪，被告知现在可以刷银行卡，而且是自己拿着卡刷一下，200以内不用签名，感觉很方便。,1,1,,,
晚点中的人....视而不见中 机场提前30分钟就不让进了太不合适了,,,,,
机场的本来就脏乱差，热巧像水一样，薯条还行，大众怎么没麦当劳优惠券了，555，好在价格倒没贵什么。,-1,,-1,1,-1
速度好快，味道还行，快餐都这样，无功无过的感觉，意外发现鸡排还蛮好吃的。,1,1,1,,
延误成了常态，所以这里的McCafé生意就会一如既往的好！\n美式老花样，但有时候不香，心理作用吗？\n巧克力布朗尼马马虎虎吧。。。,1,,,,
候机，只得在机场解决午餐。麦香鸡汉堡套餐27元，加一块大鸡排12元，因为很久没吃麦当劳了，不知道比外面贵多少。可乐里加了超级多的冰块，可乐的味道都快尝不出来了。客人很多，差点没找到位置坐。,-1,,-1,,
在机场接人遇到狂风大雨飞机都转其他机场了，这里是个等人的好地方。价钱么大家啦懂的，味道是一样的,-1,,1,-1,
因为飞机晚点，所以小P孩坐不住，我就带他到处走走\n发现了麦当劳，问他饿不饿，他竟然说饿了，所以给他买套餐\n\n这孩子要了个麦香鱼套餐￥33\n其实我搞不明白为嘛这么贵，不过孩子想吃就算了，我要了去冰的可乐，给妈妈喝\n\n发现这边人还蛮多的，而且还有Mc cafe，挺好的，可以吃吃下午茶等飞机，不过我没买甜品\n\n签到不知道签哪儿去了。。。。ORZ,-1,1,,-1,
候机时比较无聊，来吃杯麦旋风，貌似是太妃口味？攒点评的后果就是健忘啊~~~隔壁桌坐了一群大妈，其中夹了一位相对年轻的男士，比较同情他，众人还鼓掌，欢迎领导发言，我寒！大概是哪个单位的来上海玩吧。回程前在麦当劳吃着冷饮总结了一下，觉得大都市真没什么特别好玩的，让人连旅行的感触都生不出来。不过那时的我还不知道自己将面临着在飞机上干坐俩小时不能起飞，飞机晚点又遭遇暴雨，大晚上才回到家的杯具经历……,1,,,,
又不比外面便宜，为什么汉堡比外面小这么多？环境乱哄哄的，服务跟不上,-1,-1,-1,,-1
好吧，我又挑剔了。\n柜面的收银态度很差，女孩子看起来就很缺调教。\n店面还算干净 不过要从出入境大厅这边出来，到右边那幢楼的一楼 不算好找,-1,-1,,,-1
乘早上的飞机，早饭还没来得及吃，这家麦当劳是在外面的，在安检的外面。\n价钱比外面的麦当劳贵，为什么星巴克价钱是一样的，麦当劳就不一样呢？我平时早上吃板烧鸡腿汉堡套餐， 13块钱包括一杯小饮料，咖啡或者豆浆，但是这里套餐都是包括一块薯饼的，要27块钱，如果单买的话，汉堡11咖啡11薯饼就相当于是5块钱，我想等下飞机上还要吃，就没有点套餐还是单点了。\n这里的服务员好像都不是本地的，服务员叫269，我听成了209，还没出上海，就感受到了浓浓的东北味。。。,-1,-1,,-1,
麦当劳的汉堡没有汉堡王的好吃~但是套餐性价比比汉堡王稍高一点~\n\n【不素之霸双层牛堡】料挺足的~有两层牛肉和香肠~挺适合肉食主义和不喜欢吃生菜番茄的人\n\n缺点是芝士有点少~没有完全淋到牛肉饼上~,-1,,-1,1,
也许是快餐的原因 人满为患 环境服务一般，味道还不错,-1,-1,1,,-1
早班飞机，凌晨5点多，机场今天人不多。在麦当劳就只开了一两个柜台。。连MC Cafe 都还没有开。。所以没有什么生意。傍边的真功夫，吃面什么的，人就非常多。可能也是中国人习惯，早饭不太吃面包的原因吧，所以早到机场的朋友，想吃麦当劳是不需要排队的。,1,,,,
机场里面人挤人，生意很好，经常排队，没有优惠，卖价比外面高。三个人点了麦趣鸡盒，要的是鸡块版本的，居然还没有吃完，还剩了三个麦辣鸡翅一块鸡块。中午去的，买了东西之后等了一会儿才有座位，一边吃一边有人在等座位。口味和外面一样，就是价格比市区的贵，也不能用任何优惠券，这家服务员态度有时候好有时候差，还有几次买了蛮多东西打包带走后发现有少给东西，打电话去理论，也会碰到不承认的情况。,-1,-1,,1,
非常差劲！分量及其不足，圆筒是我吃过给的冰淇凌最少的！还用手碰了！服务员骂骂咧咧，排我后面5号的都出来了，我的也不给我！还振振有词在我手里。在你手里你不出餐！拿着叠纸飞机嘛？！薯条都是凉的，太次了！差评！,-1,-1,-1,,
这里是上海虹桥机场丅2航站楼的一家麦当劳餐厅。我们的航班是晚上9点起飞的，五点多就出发了，所以还来不及吃晚饭，逛着逛着就看到了麦当劳，近几年似乎也只在机场才吃麦当劳，本来是两人点两份饮料，一个汉堡两份鸡翅的，付款不到九十元一些，取出来时却发现变成了两个的汉堡，两份鸡翅变两份鸡块。怪我当时没注意看清单，只好被迫接受了，汉堡还好，有点辣，但味道还是不错的，可那鸡块就难吃了，象鸡肉味面块，绵绵的，一点儿也不象鸡块。倒是发现这家有自助点餐系统，体验了一下，挺方便的！店铺不大，客人却不少，应该全部是乘飞机离开或者抵达的客人。,-1,1,-1,,
2017第一个点评 送给机场的这家麦当劳！入关之后没有找到星巴克 退而求其次找了麦当劳，两位卖咖啡的女士很热情啊 极力推荐我买咖啡套餐。。。买就买吧 和老公一人一杯 79元送两个甜品一个包包！其实套餐不是很划算的。,-1,1,,-1,
环境好，服务好，汉堡更好吃。超级喜欢。,1,1,1,,1
麦当劳实在是太掉价了，早餐汉堡跟块饼干大小，问服务员为什么那么小，服务员很镇定，很坚决，很肯定地说：一直这么小的！无语。哪个正常人没有吃过麦当劳汉堡？如果可以评负分的，就给负分了！,-1,-1,-1,,
机场的麦当劳果然不能吃，感觉反复油炸了好几次的感觉！,-1,,-1,,
上海出差吃的第二顿麦当劳哈哈……在虹桥机场解决晚餐…时间比较紧迫吃麦当劳最方便啦…\n麦当劳虽然现在吃得少啦…不过都还是蛮熟悉的味道…小时候最喜欢汉堡炸鸡可乐这些东西…而且总是心心念念的…好不容易才能吃到一回哈哈…\n麦当劳主要的明星产品还是没有太多变化…麦辣鸡和麦乐鸡都是很爱的…现在推出的麦趣鸡盒真的超级爱…吃一盒鸡的感觉特别过瘾…而且总觉得麦辣鸡比肯德基的鸡翅辣的更鲜更爽一些…外酥里嫩还很多汁…\n麦当劳的汉堡…个人一直觉得比肯德基要好吃…最经典的还是巨无霸…牛肉饼区别于鸡肉deq香味更棒…巨无霸的芝士片和双层的牛肉饼…配合酸酸甜甜的番茄沙拉酱…一直很爱吃…\n麦当劳的薯条外脆里棉…再配合一个甜筒…给这次快餐完美收官…\n其实很容易在匆忙旅途中得到满足…希望麦当劳还是一直相伴左右…,1,,1,,
汉堡小一号啊，薯条难吃，经营者要上心，不要耍心思！,-1,,-1,,
　　上海飞厦门，航班时间早，八点前就要起飞，出门得早，六点半到这里换登机牌，一大清早的人非常少，而且不托运，所以很快搞定check in。进了候机厅就要找家店吃个早饭，一路下来觉得也就麦当劳最方便，买了直接拿走边候机边吃。\n　　这里的服务员态度非常一般，点个早饭套餐，问要什么样的搭配，声音跟蚊子叫一样，本来就人声鼎沸的，候机楼还时不时要广播航班信息，这还听个鬼？能正常对话都属不易了，还一脸不耐烦，不情愿就别在这干好吗。,-1,-1,,,
在机场麦当劳算是比较实惠的餐厅了，晚上下了飞机肚子饿，就在麦当劳随便吃吃，新出的鸡排饭不错，43.5的套餐性价比还可以,1,,1,1,
都是套餐 东西好少 而且有点贵一般吧,-1,,-1,-1,
来杯咖啡提提神…机场这家店生意还不错，服务也很好，赞一个,1,1,,,
非常方便，给出行的人提供了很大的便利，价格也是一样的,1,,,,
早上的飞机，过完安检，就过来吃点，人比较多，也只开了一个收银口，等了老久，点了个油条，粥的套餐，一般般,-1,,-1,,
早上没睡醒，来杯麦咖啡，离登机口比较近，人也不多。其实是找不到星巴克的候补，点了杯卡布奇诺，味道倒是不错，造型凹的也可爱。可惜早饭已经吃饱，不然好想来块蛋糕…,1,,1,,
一大早跟朋友赶飞机回程，没来得及吃早餐，在机场办完登机牌后看到旁边就有麦当劳，地方不是很大，很多候机的人推着行李在这歇脚，朋友去打包了俩个汉堡，可能是早餐的原因，第一次见板烧鸡腿堡这么迷你。。。价钱比外面贵，O(∩_∩)O还真心不够吃哈，只能先垫垫，上飞机后再吃。,-1,,-1,-1,
每次到了虹桥机场必来这家麦当劳，座位舒适，东西也还不错，最近新出的那么大鸡排更是美味,1,,1,,1
不错。就是机场的比其他地方价格要贵,-1,,,-1,
选择少很多呢，就几个可选的品种。,-1,,-1,,
在机场等误点飞机\n这是确实是很不错的选择\n离登机口不远\n并且很有插头可以取电,1,1,,,
非常难吃的一家麦当劳 吃过那么多麦当劳这家绝对是属于最难吃的一家了 统一流水线的快餐怎么可以做到如此难吃,-1,,-1,,
机场T2候机楼生意最好的餐饮商户，地理位置很好，就在东交通中心与T2候机楼的中通道连接处。对旅客而言，既能快捷的解决肚子问题，又不会耽误登机。\n    可点品种方面，和外面相比，略少一些，而且价格也比机场外稍贵一点，象中晚餐的套餐也都没有，但由于其的便捷性，食客前赴后继。,-1,,-1,-1,1
全五分了，一杯乌龙茶?薯条吃着舒服，薯条是刚刚炸出来的，很新鲜啊！,1,,1,,
一个人多的麦当劳，出品当然新鲜啦。但是服务员良好的培训，真的值得赞，感谢你们。,1,1,1,,
离开上海时  去吃的还好   在机场这里  人有点多,1,,,,
很久没吃麦叔叔了，今天大雾航班大面积延误，想到正好能来吃最爱的鳕鱼堡和新出的扭扭薯条，心情还是不错的。\n接下来的逆转，可以说这是我遇到过的最乱的麦店。管理极其混乱，收银台关闭没有明显标示，我看见有客人和服务员在那个台子交货和买单的，然后他们都离开了，我还礼貌的等收银员回来，工作人员来来回回经过没有一个人善意地提醒一下我这里关闭！！我和后面的人自己叫住人问了，才知道，然后换到其他长龙队伍去！\n接着买单取餐，没有任何取餐点的标示！餐配好后直接扔在收银员旁边。人一多根本看不见自己的餐放在了哪里。\n取餐，发现配餐配错了，换掉。坐下进餐，听见隔壁客人说鳕鱼堡拿成了牛肉堡，叹气，算了。\n一路上从想到麦叔叔的好心情，到边吃边怪自己选了这里。麦当劳，你的确在退步了！,-1,-1,,,
来虹桥机场接机，没吃晚饭时间尚早跑来麦当劳对付一下晚餐，顺便有个位置坐坐消耗光阴。\n机场的价格并没有和外面有多大的区别，单点了麦辣鸡腿汉堡，辣鸡翅和美式咖啡，由于是堂吃，咖啡给的是陶瓷杯（环保）而不是外带纸杯。\n今天的汉堡有点偏辣，尤其是最后一口有点重辣了，香辣鸡翅也很入味，辣的比较爽，好久没吃到这么正宗的辣鸡翅和辣汉堡了。\n咖啡是现磨的，坐在咖啡吧旁，正好有彩笔，吃完就无聊的将餐纸反过来画图了，不过自己的画画水平自己也只能呵呵了，跟我小侄女水平差不多，惭愧啊…就当消磨时光自己瞎乐乐。,1,,1,,
最喜欢麦当劳的香骨鸡腿 黑胡椒味,1,,1,,
挺好的，人流量很大，环境也很好,1,,,,1
快餐的唯一好处就是 快…网上的优惠券还是要用的，买了板烧鸡腿堡和奶辣鸡腿堡，麦辣鸡翅，麦辣鸡块，中薯，可乐～板烧鸡腿堡好吃的，不过蔬菜好少啊啊，不太健康[鬼脸],-1,,-1,,
赶飞机，随便吃吃，这家还能用优惠券~划算~~~,1,,,1,
